Employee Code,Manager Employee Code,Last_Compensation,Compensation,Last_Pay_Raise_Date,Performance Rating,Engagement Score,Effective Date,End Date
1,,,20000,,,,2021-01-01,2100-01-01
2,1,,20000,,,,2021-01-01,2021-02-28
2,1,,20000,,,4,2021-03-01,2021-05-31
2,1,,20000,,9,4,2021-06-01,2021-12-31
2,1,20000,10000,2022-01-01,9,4,2022-01-01,2022-02-28
2,1,20000,10000,2022-01-01,9,5,2022-03-01,2022-05-31
2,1,20000,10000,2022-01-01,9.5,5,2022-06-01,2022-12-31
2,1,10000,20000,2023-01-01,9.5,5,2023-01-01,2100-01-01
3,1,,20000,,,,2021-01-01,2021-02-28
3,1,,20000,,,4,2021-03-01,2021-05-31
3,1,,20000,,9,4,2021-06-01,2021-12-31
3,1,20000,10000,2022-01-01,9,4,2022-01-01,2022-02-28
3,1,20000,10000,2022-01-01,9,5,2022-03-01,2022-05-31
3,1,20000,10000,2022-01-01,9.5,5,2022-06-01,2022-12-31
3,1,10000,20000,2023-01-01,9.5,5,2023-01-01,2023-12-30
